Timestamp,ExecutionType,NumIterations,ImageWidth,ImageHeight,NumAngles,NumDetectors,RelaxationFactor,FinalErrorNorm,ReconstructionTime_ms
2025-10-06 16:35:43,Metal-detspacing2,10000,256,256,90,725,0,0.271342,36872.8
2025-10-06 16:37:27,Metal-detspacing2,100,256,256,90,725,1.25,0.751554,352.686
2025-10-06 16:37:29,Metal-detspacing2,500,256,256,90,725,1.25,0.58315,1848.34
2025-10-06 16:37:33,Metal-detspacing2,1000,256,256,90,725,1.25,0.489538,3840.54
2025-10-06 16:37:52,Metal-detspacing2,5000,256,256,90,725,1.25,0.296755,18667.6
2025-10-06 16:38:29,Metal-detspacing2,10000,256,256,90,725,1.25,0.264623,36826.1
2025-10-06 16:39:30,Metal-detspacing2,100,256,256,90,725,1.75,0.722696,459.181
2025-10-06 16:39:32,Metal-detspacing2,500,256,256,90,725,1.75,0.538829,1955.96
2025-10-06 16:39:36,Metal-detspacing2,1000,256,256,90,725,1.75,0.442148,3757.33
2025-10-06 16:39:55,Metal-detspacing2,5000,256,256,90,725,1.75,0.276877,18536.6
2025-10-06 16:40:32,Metal-detspacing2,10000,256,256,90,725,1.75,0.259055,36960.2
2025-10-06 16:41:30,Metal-detspacing2,100,256,256,90,725,2.5,0.68864,367.85
2025-10-06 16:41:33,Metal-detspacing2,500,256,256,90,725,2.5,0.489494,1838.97
2025-10-06 16:41:37,Metal-detspacing2,1000,256,256,90,725,2.5,0.393424,3959.99
2025-10-06 16:41:56,Metal-detspacing2,5000,256,256,90,725,2.5,0.264621,18445.7
2025-10-06 16:42:33,Metal-detspacing2,10000,256,256,90,725,2.5,0.256701,36992.3
2025-10-06 17:30:13,Metal,100,256,256,90,725,0,0.808276,481.145
2025-10-06 17:30:16,Metal,500,256,256,90,725,0,0.661313,2797.9
2025-10-06 17:30:22,Metal,1000,256,256,90,725,0,0.575851,5406.56
2025-10-06 17:30:48,Metal,5000,256,256,90,725,0,0.337868,24743.3
2025-10-06 17:31:37,Metal,10000,256,256,90,725,0,0.254091,49327.2
2025-10-06 18:14:18,Metal,20000,256,256,90,725,20,0.18988,100768
2025-10-06 18:25:44,Metal,100,256,256,180,725,0,0.808494,844.913
2025-10-06 18:26:27,Metal,1000,256,256,180,725,0,0.576111,8305.58
2025-10-06 18:27:21,Metal,5000,256,256,180,725,0,0.336006,41599.7
2025-10-06 18:28:07,Metal,1000,256,256,180,725,20,0.186324,8455.33
2025-10-06 18:29:07,Metal,5000,256,256,180,725,20,0.136691,41737.2
2025-10-06 18:31:36,Metal,1000,256,256,180,725,20,0.186324,8344.94
2025-10-06 18:32:15,Metal,1000,256,256,180,725,50,0.148005,8466.16
2025-10-06 18:33:08,Metal,5000,256,256,180,725,50,0.131962,42422.8
2025-10-06 18:33:40,Metal,100,256,256,180,725,75,0.281439,857.806
2025-10-06 18:33:46,Metal,500,256,256,180,725,75,0.156764,4271.16
2025-10-06 18:33:56,Metal,1000,256,256,180,725,75,0.140376,8964.23
2025-10-06 18:34:58,Metal,100,256,256,180,725,100,0.24567,853.43
2025-10-06 18:35:03,Metal,500,256,256,180,725,100,0.147991,4245.72
2025-10-06 18:35:12,Metal,1000,256,256,180,725,100,0.136686,8467.78
2025-10-06 18:36:15,Metal,5000,256,256,180,725,100,0.130529,41492.3
2025-10-06 18:38:18,Metal,5000,256,256,180,725,75,0.131091,43516.1
2025-10-06 18:38:54,Metal,100,256,256,180,725,50,0.335407,876.201
2025-10-06 18:38:59,Metal,500,256,256,180,725,50,0.173419,4476.14
2025-10-06 18:39:09,Metal,1000,256,256,180,725,50,0.148005,8874.51
2025-10-06 18:43:48,Metal,100,256,256,180,725,20,0.475955,870.535
2025-10-06 18:43:53,Metal,500,256,256,180,725,20,0.246116,4277.89
2025-10-06 18:44:03,Metal,1000,256,256,180,725,20,0.186324,8903.66
2025-10-06 18:44:45,Metal,100,256,256,180,725,0,0.808495,859.683
2025-10-06 18:44:50,Metal,500,256,256,180,725,0,0.661577,4214.54
2025-10-06 18:44:59,Metal,1000,256,256,180,725,0,0.576111,8459.64
2025-10-06 18:47:00,Metal,100,256,256,180,725,150,0.206905,871.424
2025-10-06 18:47:05,Metal,500,256,256,180,725,150,0.140167,4272.08
2025-10-06 18:47:15,Metal,1000,256,256,180,725,150,0.133764,8537.86
2025-10-06 18:48:27,Metal,5000,256,256,180,725,150,0.129693,41646
2025-10-06 18:49:08,Metal,100,256,256,180,725,175,0.21034,857.771
2025-10-06 18:49:13,Metal,500,256,256,180,725,175,0.138121,4197.4
2025-10-06 18:49:22,Metal,1000,256,256,180,725,175,0.13307,8475.26
2025-10-06 18:50:13,Metal,5000,256,256,180,725,175,0.129352,41707.3
2025-10-06 18:59:55,Metal,1000,256,256,180,725,175,0.13307,8400.8
2025-10-06 19:07:36,Metal,1000,256,256,180,725,175,0.132589,8400.91
2025-10-06 19:08:59,Metal,500,256,256,180,725,175,0.138,4154.75
2025-10-06 19:09:36,Metal,100,256,256,180,725,200,0.189367,854.381
2025-10-06 19:09:43,Metal,500,256,256,180,725,200,0.136444,4287
2025-10-06 19:09:56,Metal,1000,256,256,180,725,200,0.132072,8471.96
2025-10-06 19:14:40,Metal,100,256,256,180,725,175,0.343916,REG
2025-10-06 19:14:45,Metal,500,256,256,180,725,175,0.249777,4217.56
2025-10-06 19:14:54,Metal,1000,256,256,180,725,175,0.249626,8471.37
2025-10-06 19:15:36,Metal,100,256,256,180,725,0,0.857311,849.039
2025-10-06 19:15:41,Metal,500,256,256,180,725,0,0.832382,4231.32
2025-10-06 19:15:51,Metal,1000,256,256,180,725,0,0.832224,8455.16
2025-10-06 19:16:30,Metal,100,256,256,180,725,0,0.940215,836.842
2025-10-06 19:16:35,Metal,500,256,256,180,725,0,0.940081,4222.37
2025-10-06 19:16:45,Metal,1000,256,256,180,725,0,0.940081,8436.73
2025-10-06 19:17:42,Metal,100,256,256,180,725,0,0.996533,865.814
2025-10-06 19:17:48,Metal,500,256,256,180,725,0,0.996533,4223.73
2025-10-06 19:17:57,Metal,1000,256,256,180,725,0,0.996533,8483.13
2025-10-06 19:19:34,Metal,100,256,256,180,725,0,0.862763,909.257
2025-10-06 19:19:39,Metal,500,256,256,180,725,0,0.862325,4270.39
2025-10-06 19:19:49,Metal,1000,256,256,180,725,0,0.862326,8454.91
2025-10-06 19:20:16,Metal,100,256,256,180,725,0,0.64302,847.657
2025-10-06 19:20:21,Metal,500,256,256,180,725,0,0.64302,4219.56
2025-10-06 19:20:31,Metal,1000,256,256,180,725,0,0.64302,8467.19
2025-10-06 19:21:03,Metal,100,256,256,180,725,0,0.558775,945.239
2025-10-06 19:21:08,Metal,500,256,256,180,725,0,0.558633,4501.01
2025-10-06 19:21:19,Metal,1000,256,256,180,725,0,0.558633,9317.41
2025-10-06 19:25:49,Metal,100,256,256,180,725,0,0.371511,878.848
2025-10-06 19:25:54,Metal,500,256,256,180,725,0,0.343438,4429.97
2025-10-06 19:26:04,Metal,1000,256,256,180,725,0,0.343388,8783.93
2025-10-06 19:26:38,Metal,100,256,256,180,725,0,0.289153,896.605
2025-10-06 19:26:43,Metal,500,256,256,180,725,0,0.175607,4705.2
2025-10-06 19:26:53,Metal,1000,256,256,180,725,0,0.163347,8891.65
2025-10-06 19:31:44,Metal,100,256,256,180,725,0,0.211191,884.872
2025-10-06 19:31:50,Metal,500,256,256,180,725,0,0.138671,4449.48
2025-10-06 19:32:00,Metal,1000,256,256,180,725,0,0.133504,9005.6
2025-10-06 19:33:56,Metal,100,256,256,180,725,0,0.58826,843.136
2025-10-06 19:34:01,Metal,500,256,256,180,725,0,0.559039,4276.12
2025-10-06 19:34:11,Metal,1000,256,256,180,725,0,0.55436,8477.33
2025-10-06 19:36:25,Metal,100,256,256,180,725,0,0.586897,868.979
2025-10-06 19:36:30,Metal,500,256,256,180,725,0,0.551147,4422.73
2025-10-06 19:36:40,Metal,1000,256,256,180,725,0,0.537678,8532
2025-10-06 19:36:59,Metal,100,256,256,180,725,0,0.586897,846.517
2025-10-06 19:37:05,Metal,500,256,256,180,725,0,0.551147,4240.89
2025-10-06 19:37:14,Metal,1000,256,256,180,725,0,0.537678,8452.2
2025-10-06 19:38:26,Metal,100,256,256,180,725,0,0.976652,877.503
2025-10-06 19:38:32,Metal,500,256,256,180,725,0,0.969946,4615.12
2025-10-06 19:38:42,Metal,1000,256,256,180,725,0,0.967119,8997.67
2025-10-06 19:39:10,Metal,100,256,256,180,725,0,0.21034,883.907
2025-10-06 19:39:16,Metal,500,256,256,180,725,0,0.138121,4349.38
2025-10-06 19:39:25,Metal,1000,256,256,180,725,0,0.13307,8444.58
2025-10-06 19:40:21,Metal,100,256,256,180,725,0,0.19877,852.233
2025-10-06 19:40:26,Metal,500,256,256,180,725,0,0.138,4232.62
2025-10-06 19:40:36,Metal,1000,256,256,180,725,0,0.132589,8497.32
2025-10-06 19:46:20,Metal,100,256,256,256,725,200,0.186925,1189.32
2025-10-06 19:46:28,Metal,500,256,256,256,725,200,0.119339,5972.19
